x1,x2,x3,x4,x5,PCNM1,PCNM3,PCNM2,PCNM7,PCNM8,PCNM25,PCNM20,PCNM17,PCNM56,PCNM41,PCNM23,PCNM68,PCNM6
8.720674867,10.04271993,39.2394012,51.79819138,65.15001491,-0.029644632,0.05314409,0.025594792,-0.104763949,0.065153186,0.137597212,-0.05780538,-0.12908741,0.03626301,-0.10496524,-1.21E-14,-0.192271387,0.007886872
13.72131693,15.70377158,69.04325131,34.7536682,56.57045197,-0.050356153,0.089415306,0.049594896,-0.155268782,0.08421376,0.097011812,-0.000490657,-0.160268082,0.022354304,-0.012876269,0.098587042,0.094228049,0.031326907
20.56216844,23.30104716,42.31447237,31.5419165,38.0330984,-0.05599886,0.097297795,0.070382787,-0.128976257,0.0625421,0.063907534,0.025430153,-0.124362966,0.075533318,-0.131137891,0.157182364,0.024002983,0.068470759
23.84120612,31.22561314,54.48220442,44.63325891,44.01843402,-0.045146845,0.074288921,0.086345378,-0.046713836,0.048444712,0.134113431,-0.052199338,-0.101284371,0.001029428,-0.090637656,0.016677967,0.019161321,0.096793207
31.78598251,38.47634434,112.6756407,49.91106227,61.42279649,-0.021507095,0.02769384,0.095982154,0.042552407,0.074834931,0.088277242,-0.065279192,-0.077139738,0.05101558,0.039675016,-0.189187149,0.036978875,0.087653035
32.1285567,43.53339367,76.67161287,102.1993334,58.92146434,0.007278641,-0.02769384,0.098092561,0.093035881,0.119420489,-0.088277242,0.01125051,0.014957671,-0.05101558,-0.039675016,-0.189187149,-0.187919628,0.028949728
39.95908864,51.43619454,103.1259703,84.89767616,47.98086718,0.032071096,-0.074288921,0.092006558,0.088708439,0.130073289,-0.134113431,0.002547739,0.145767577,-0.001029428,0.090637656,0.016677967,0.088817215,-0.060678828
46.32950686,65.70170935,81.97546297,103.971783,46.36790101,0.045135135,-0.097297795,0.077797356,0.048389204,0.085776016,-0.063907534,-0.066682192,0.199206274,-0.075533318,0.131137891,0.157182364,0.157671665,-0.137773745
51.19628019,64.82061592,119.6899,108.1944912,53.8830588,0.042584567,-0.089415306,0.056408781,0.007727584,0.021888618,-0.097011812,-0.029019828,0.137087503,-0.022354304,0.012876269,0.098587042,-0.150496588,-0.158208894
54.48103512,72.3721834,107.8393526,96.82179868,36.69602481,0.025594792,-0.05314409,0.029644632,-0.007886872,-0.009862329,-0.137597212,0.042427214,0.047646222,-0.03626301,0.10496524,-1.00E-14,-0.005418958,-0.104763949
10.44599129,12.51613612,37.41030892,53.68783778,43.71791789,-0.056408781,0.089415306,0.042584567,-0.158208894,0.094945512,0.09533222,-0.093983928,-0.093664505,-0.03092974,-0.026253261,-0.098587042,0.102867771,-0.007727584
18.54448659,24.12884432,37.2921311,39.29686963,43.53541961,-0.095713842,0.150441885,0.082638093,-0.230859474,0.103877057,-0.065894127,0.031573319,-0.061818856,-0.117082649,0.231303043,-3.89E-15,0.071676004,0.017379634
26.09073095,26.21001706,33.65332562,26.658047,46.14899599,-0.106176504,0.163704228,0.117542842,-0.18394382,0.039320793,-0.141790346,0.094251925,0.016913493,-0.041245767,0.054627608,0.135338872,-0.137994631,0.076760046
26.46426628,38.18383268,57.42943606,43.13264289,67.4053235,-0.085090092,0.124991635,0.144607333,-0.053354622,-0.004162988,0.035289356,-0.045463277,0.002262496,-0.126792336,0.057674462,0.058595321,-0.08062397,0.133503601
36.04863791,46.33007576,76.79043971,50.92321617,64.17423196,-0.039589449,0.046595081,0.161241119,0.081004481,0.037917089,0.077564572,-0.065740628,-0.065417711,0.037922044,0.145102947,-0.129121566,0.130851566,0.136534977
39.89243629,50.6867923,94.71929769,105.8912125,44.30317984,0.015649975,-0.046595081,0.165290959,0.147123771,0.123476147,-0.077564572,0.081118794,-0.039204056,-0.037922044,-0.145102947,-0.129121566,0.066838778,0.059649996
